time,s	strain,%	stress,MPa	stressDrop,MPa	strainDropLength
34.4	0.22814	76.30947	0.53316	0.0013
35.4	0.23483	76.50632	0.6579	0.00269
38.4	0.25482	77.76316	0.52632	0.0027
40.0	0.26542	77.99368	0.32264	0.00409
43.4	0.28811	78.97368	0.92737	0.0027
45.6	0.30279	79.42737	0.93369	0.0027
51.4	0.34147	80.85526	0.73001	0.00401
55.2	0.36676	81.93421	0.68421	0.00271
59.8	0.39744	82.73053	0.4937	0.0014
62.0	0.41213	83.09895	0.63158	0.0027
63.0	0.41882	83.26316	0.30948	0.00262
64.0	0.42551	83.55263	0.54631	0.00262
64.8	0.43081	83.65158	0.59896	0.00262
67.2	0.44681	84.73684	0.84843	0.0027
71.6	0.4761	85.30947	0.32948	0.0014
72.0	0.47879	85.07263	0.40159	0.00132
73.4	0.48809	85.46053	0.50685	0.0027
74.4	0.49478	86.36211	0.40158	0.0027
79.6	0.52946	87.19053	0.93369	0.00262
81.2	0.54007	87.42737	0.80895	0.00408
85.6	0.56944	88.5	0.96054	0.00132
86.2	0.57344	87.98	0.52632	0.00132
87.6	0.58274	89.43421	0.55947	0.00269
88.2	0.58674	89.09895	0.9937	0.00269
93.0	0.61881	90.15158	0.92105	0.00131
98.4	0.65479	91.30263	0.96052	0.00262
100.6	0.66948	91.98684	0.70369	0.00262
107.6	0.71615	92.76316	0.34212	0.00262
114.6	0.76274	94.90105	0.65789	0.0027
124.8	0.83071	96.23053	0.95422	0.0027
125.8	0.8374	96.23053	0.3158	0.0013
126.4	0.84139	96.5	0.53947	0.0054
128.2	0.85339	97.45368	0.74948	0.00269
131.6	0.87607	97.33579	0.62526	0.00269
139.6	0.92943	99.18421	0.96053	0.00262
140.6	0.93604	99.19053	0.36158	0.0014
141.2	0.94004	99.25	0.4279	0.00401
143.2	0.95342	100.17789	0.84894	0.00262
146.6	0.97602	99.86842	0.38158	0.00271
152.0	1.01201	101.77632	0.73001	0.00138
158.6	1.05607	102.47368	0.3158	0.00262
163.0	1.08536	103.11158	0.64422	0.00269
175.8	1.17071	105.65158	0.82263	0.00262
176.8	1.1774	105.65158	0.38211	0.00131
181.4	1.20808	106.94105	0.71053	0.00391
183.2	1.21999	107.55263	0.47368	0.00401
185.8	1.23737	108.38158	0.32896	0.0013
187.2	1.24667	107.57895	0.34843	0.0027
193.4	1.28804	108.44737	0.34843	0.0013
194.4	1.29465	109.93421	0.91421	0.00269
196.4	1.30803	108.98684	0.32264	0.00131
199.4	1.32802	110.35526	0.94053	0.0027
204.8	1.364	110.37474	0.42106	0.0014
205.6	1.36939	110.84211	0.39474	0.0013
207.2	1.37999	111.03947	0.78947	0.0027
208.0	1.3853	110.52632	0.30948	0.0027
208.8	1.39068	110.47368	0.47369	0.00132
215.0	1.43197	111.99368	0.52	0.0014
218.4	1.45465	113.5	0.60527	0.0027
219.4	1.46134	114.18421	0.88158	0.00131
220.2	1.46665	114.25684	0.42105	0.00138
220.8	1.47065	113.94105	0.3158	0.0027
223.0	1.48533	113.90789	0.77631	0.00531
236.4	1.57468	116.21053	0.69738	0.00269
239.4	1.59467	116.48	0.69685	0.00131
240.2	1.59997	116.60526	0.35527	0.0014
253.8	1.69062	118.28947	0.73052	0.0027
257.4	1.71461	118.94105	0.40843	0.0027
258.2	1.72	119.22368	0.61843	0.00531
262.8	1.75059	120.98684	0.54579	0.0027
266.6	1.77597	121.12526	0.42789	0.00269
268.0	1.78527	121.42737	0.34211	0.0027
269.0	1.79196	121.84842	0.51264	0.00131
269.8	1.79726	122.10526	0.48001	0.00131
273.0	1.81864	121.78947	0.85527	0.00131
273.8	1.82395	122.08526	0.5	0.00131
275.6	1.83594	122.18421	0.3421	0.00132
277.0	1.84532	122.65789	0.55263	0.00262
280.4	1.86792	122.42105	0.92737	0.0027
282.6	1.88261	123.73053	0.48737	0.0027
283.6	1.8893	124.17789	0.40843	0.00262
286.2	1.9066	123.91474	0.42106	0.00801
290.0	1.93189	124.02	0.5	0.0027
291.4	1.94128	124.99368	0.94737	0.00262
292.2	1.94658	124.48	0.74317	0.0014
293.0	1.95197	124.46737	0.44106	0.00131
293.6	1.95596	124.71053	0.58528	0.00132
298.4	1.98795	126.21684	0.82843	0.0013
300.2	1.99994	126.38842	0.98054	0.00131
301.4	2.00794	126.96053	0.78949	0.00262
305.2	2.03324	127.35526	0.77	0.00268
306.0	2.03862	126.80947	0.37527	0.00131
312.6	2.0826	128.11842	0.78947	0.00271
317.8	2.11728	128.48684	0.84896	0.00131
324.0	2.15856	129.95368	0.72316	0.00131
324.8	2.16394	130.09895	0.76316	0.00132
325.6	2.16926	130.05895	0.66421	0.00131
326.2	2.17324	129.87474	0.58528	0.00263
331.0	2.20524	130.68421	0.54633	0.00131
339.4	2.2612	132.61158	0.44738	0.0027
340.0	2.2652	132.20421	0.65789	0.0027
341.6	2.2759	131.64474	0.36843	0.00268
347.8	2.31726	133.15158	0.38211	0.00401
348.6	2.32256	132.87474	0.49316	0.0027
359.4	2.39454	134.5	0.38842	0.00131
361.8	2.41052	135.80947	0.54	0.0027
363.2	2.4199	135.76947	0.44737	0.00132
363.8	2.4239	135.55263	0.31579	0.00262
365.4	2.43452	135.63789	0.42106	0.00268
366.2	2.4399	135.52632	0.49369	0.0026
370.4	2.46788	135.89474	0.4537	0.0027
371.4	2.4745	136.80947	0.67789	0.00269
372.8	2.48388	135.73684	0.48	0.0026
375.6	2.50256	137.78947	0.38158	0.00131
379.0	2.52516	137.56579	0.62475	0.0027
379.8	2.53054	137.70421	0.37526	0.00133
380.6	2.53586	138.46053	0.69738	0.00268
383.8	2.55722	138.72368	0.81579	0.00262
384.8	2.56384	138.90105	0.99316	0.00139
387.2	2.57982	138.40105	0.39474	0.00141
388.8	2.59044	139.14474	0.52633	0.00279
390.4	2.6012	139.53947	0.99315	0.00262
396.0	2.6385	140.34211	0.4737	0.00268
396.6	2.6425	139.87474	0.73	0.00268
398.8	2.65718	140.73684	0.70421	0.0027
403.4	2.68786	140.85526	0.69737	0.00131
404.8	2.69716	141.59895	0.31579	0.00131
411.8	2.74384	141.73053	0.71053	0.00139
412.6	2.74914	141.90105	0.56526	0.00268
414.6	2.76252	143.25	0.9079	0.00261
415.6	2.76912	142.56579	0.63842	0.0027
417.2	2.77982	143.55263	0.80263	0.00269
422.2	2.81318	144.53947	0.65789	0.00262
423.2	2.8198	145.14474	0.87528	0.00539
426.4	2.84118	144.62526	0.68422	0.00261
