time,s	strain,%	stress,MPa	stressDrop,MPa	strainDropLength
1948.0	12.98392	300.76947	0.3021	0.00531
2328.2	15.51822	327.69053	0.30212	0.0054
656.8	4.37694	175.07895	0.30263	0.00268
2075.0	13.83046	310.56579	0.30263	0.0027
2193.4	14.61972	319.64474	0.30264	0.00531
2491.6	16.6075	338.54632	0.30316	0.0053
2005.2	13.36522	303.88158	0.30895	0.00268
559.2	3.72638	161.51316	0.30896	0.00401
1944.2	12.95856	299.69053	0.30896	0.00538
2759.4	18.39252	355.20421	0.30947	0.0054
2169.8	14.4624	316.31579	0.30947	0.004
63.0	0.41882	83.26316	0.30948	0.00262
208.0	1.3853	110.52632	0.30948	0.0027
363.8	2.4239	135.55263	0.31579	0.00262
404.8	2.69716	141.59895	0.31579	0.00131
2914.4	19.42574	364.81579	0.31579	0.0054
6879.6	45.8572	480.74316	0.31579	0.00801
220.8	1.47065	113.94105	0.3158	0.0027
125.8	0.8374	96.23053	0.3158	0.0013
158.6	1.05607	102.47368	0.3158	0.00262
2239.6	14.92766	321.15158	0.3158	0.00539
40.0	0.26542	77.99368	0.32264	0.00409
2006.6	13.37452	304.27632	0.32264	0.004
196.4	1.30803	108.98684	0.32264	0.00131
2262.2	15.07836	323.14474	0.32264	0.00531
3129.2	20.8576	376.69053	0.32843	0.008
6044.2	40.2886	469.92105	0.32894	0.008
2154.6	14.36106	316.61842	0.32896	0.00539
185.8	1.23737	108.38158	0.32896	0.0013
3310.8	22.0682	386.49368	0.32947	0.0066
1588.4	10.58686	271.07263	0.32948	0.004
2287.6	15.24766	325.12526	0.32948	0.00393
71.6	0.4761	85.30947	0.32948	0.0014
506.0	3.37178	155.02	0.3358	0.0013
275.6	1.83594	122.18421	0.3421	0.00132
8109.8	54.0574	468.35526	0.3421	0.0134
2313.4	15.41966	326.98684	0.3421	0.00392
268.0	1.78527	121.42737	0.34211	0.0027
2052.4	13.67984	307.67789	0.34211	0.004
1794.0	11.9574	288.15789	0.34211	0.00531
644.8	4.29696	174.04632	0.34212	0.0054
107.6	0.71615	92.76316	0.34212	0.00262
187.2	1.24667	107.57895	0.34843	0.0027
193.4	1.28804	108.44737	0.34843	0.0013
2362.2	15.7449	329.76316	0.34843	0.00539
2460.4	16.39952	337.86211	0.34895	0.00393
3483.8	23.2214	394.66421	0.35475	0.008
2821.6	18.80718	360.78947	0.35526	0.00533
240.2	1.59997	116.60526	0.35527	0.0014
1737.8	11.58272	283.82895	0.35528	0.00409
140.6	0.93604	99.19053	0.36158	0.0014
2835.6	18.90044	360.14474	0.36159	0.00541
427.2	2.84648	144.29579	0.36159	0.0027
2053.8	13.68914	307.85526	0.36843	0.004
6914.0	46.0864	480.30263	0.36843	0.01341
578.2	3.85302	165.86211	0.36843	0.00401
8148.2	54.3136	461.38842	0.36843	0.0092
1158.0	7.71786	229.71053	0.36843	0.00263
341.6	2.2759	131.64474	0.36843	0.00268
1547.8	10.31622	267.36842	0.37475	0.00401
518.4	3.45444	156.88842	0.37526	0.00269
1131.0	7.53788	227.48684	0.37526	0.00138
379.8	2.53054	137.70421	0.37526	0.00133
306.0	2.03862	126.80947	0.37527	0.00131
8163.6	54.4162	457.46053	0.37528	0.0066
1688.8	11.2561	275.96053	0.37528	0.00268
2189.4	14.59304	318.58526	0.38106	0.00531
146.6	0.97602	99.86842	0.38158	0.00271
2955.2	19.69778	367.18421	0.38158	0.0053
375.6	2.50256	137.78947	0.38158	0.00131
2113.0	14.0838	312.07263	0.3821	0.00392
347.8	2.31726	133.15158	0.38211	0.00401
176.8	1.1774	105.65158	0.38211	0.00131
6706.0	44.7	477.88842	0.38842	0.0106
576.2	3.83972	165.02	0.38842	0.00261
359.4	2.39454	134.5	0.38842	0.00131
3706.2	24.7038	404.85526	0.39473	0.008
8100.4	53.9948	469.78947	0.39473	0.01461
387.2	2.57982	138.40105	0.39474	0.00141
205.6	1.36939	110.84211	0.39474	0.0013
2489.8	16.59542	338.52	0.39474	0.00408
2624.4	17.49272	347.84842	0.40105	0.00531
558.2	3.7197	161.69053	0.40107	0.00268
74.4	0.49478	86.36211	0.40158	0.0027
72.0	0.47879	85.07263	0.40159	0.00132
3210.6	21.4002	380.97368	0.4079	0.0066
458.0	3.05176	147.94105	0.40842	0.00271
8167.6	54.4428	456.36211	0.40843	0.00801
283.6	1.8893	124.17789	0.40843	0.00262
257.4	1.71461	118.94105	0.40843	0.0027
6695.4	44.6294	478.04632	0.40843	0.01201
701.4	4.67426	179.38158	0.41422	0.0013
5220.2	34.7958	455.80947	0.41473	0.0068
4087.6	27.246	420.36211	0.41474	0.0108
1244.2	8.29246	239.92105	0.41474	0.00268
2424.8	16.16216	334.0	0.41474	0.00538
577.0	3.84502	164.91474	0.41474	0.0027
